Provinsi,Tahun,Produksi,Komoditas
KEPULAUAN RIAU,2022,0.32,Kedelai
KEPULAUAN RIAU,2023,5.0,Kedelai
KEPULAUAN RIAU,2024,1.0,Kedelai
KEPULAUAN RIAU,2021,855.01,Padi
KEPULAUAN RIAU,2022,506.91,Padi
KEPULAUAN RIAU,2023,324.01,Padi
KEPULAUAN RIAU,2024,305.09,Padi
LAMPUNG,2020,971957.0,Jagung
LAMPUNG,2021,1129112.0,Jagung
LAMPUNG,2022,1443096.0,Jagung
LAMPUNG,2023,1103640.0,Jagung
LAMPUNG,2024,1107739.0,Jagung
LAMPUNG,2020,728.7,Kacang Hijau
LAMPUNG,2021,1251.8,Kacang Hijau
LAMPUNG,2022,817.0,Kacang Hijau
LAMPUNG,2023,443.0,Kacang Hijau
LAMPUNG,2024,230.0,Kacang Hijau
LAMPUNG,2020,4142.52,Kacang Tanah
LAMPUNG,2021,3217.97,Kacang Tanah
LAMPUNG,2022,2382.73,Kacang Tanah
LAMPUNG,2023,1750.0,Kacang Tanah
LAMPUNG,2024,1409.0,Kacang Tanah
LAMPUNG,2020,2496.78,Kedelai
LAMPUNG,2021,1922.91,Kedelai
LAMPUNG,2022,2109.76,Kedelai
LAMPUNG,2023,7412.0,Kedelai
LAMPUNG,2024,5697.0,Kedelai
LAMPUNG,2020,2650289.64,Padi
LAMPUNG,2021,2485452.78,Padi
LAMPUNG,2022,2688159.74,Padi
LAMPUNG,2023,2757898.19,Padi
LAMPUNG,2024,2791347.53,Padi
MALUKU,2020,14935.0,Jagung
MALUKU,2021,14692.0,Jagung
MALUKU,2022,15687.0,Jagung
MALUKU,2023,7663.0,Jagung
MALUKU,2024,7583.0,Jagung
MALUKU,2020,0.0,Kacang Hijau
MALUKU,2021,0.0,Kacang Hijau
MALUKU,2022,0.0,Kacang Hijau
MALUKU,2023,105.0,Kacang Hijau
MALUKU,2024,386.0,Kacang Hijau
MALUKU,2020,0.0,Kacang Tanah
MALUKU,2021,0.0,Kacang Tanah
MALUKU,2022,0.0,Kacang Tanah
MALUKU,2023,786.0,Kacang Tanah
MALUKU,2024,1463.0,Kacang Tanah
MALUKU,2020,0.0,Kedelai
MALUKU,2021,0.0,Kedelai
MALUKU,2022,0.0,Kedelai
MALUKU,2023,135.0,Kedelai
MALUKU,2024,222.0,Kedelai
MALUKU,2020,110447.3,Padi
MALUKU,2021,116803.67,Padi
MALUKU,2022,92601.06,Padi
MALUKU,2023,79958.34,Padi
MALUKU,2024,91125.35,Padi
MALUKU UTARA,2020,3816.0,Jagung
MALUKU UTARA,2021,10329.0,Jagung
MALUKU UTARA,2022,7712.0,Jagung
MALUKU UTARA,2023,6871.0,Jagung
MALUKU UTARA,2024,4530.0,Jagung
MALUKU UTARA,2020,258.5,Kacang Hijau
MALUKU UTARA,2021,616.0,Kacang Hijau
MALUKU UTARA,2022,1469.0,Kacang Hijau
MALUKU UTARA,2023,27.0,Kacang Hijau
MALUKU UTARA,2024,333.0,Kacang Hijau
MALUKU UTARA,2020,1717.59,Kacang Tanah
MALUKU UTARA,2021,1445.9,Kacang Tanah
MALUKU UTARA,2022,1735.12,Kacang Tanah
MALUKU UTARA,2023,304.0,Kacang Tanah
MALUKU UTARA,2024,1203.0,Kacang Tanah
MALUKU UTARA,2020,65.86,Kedelai
MALUKU UTARA,2021,22.09,Kedelai
MALUKU UTARA,2022,103.56,Kedelai
MALUKU UTARA,2023,8.0,Kedelai
MALUKU UTARA,2024,58.0,Kedelai
MALUKU UTARA,2020,43382.85,Padi
MALUKU UTARA,2021,28052.0,Padi
MALUKU UTARA,2022,24486.0,Padi
MALUKU UTARA,2023,26663.0,Padi
MALUKU UTARA,2024,31232.95,Padi
NUSA TENGGARA BARAT,2020,860495.0,Jagung
NUSA TENGGARA BARAT,2021,1019225.0,Jagung
NUSA TENGGARA BARAT,2022,1421922.0,Jagung
NUSA TENGGARA BARAT,2023,1281035.0,Jagung
NUSA TENGGARA BARAT,2024,1209784.0,Jagung
NUSA TENGGARA BARAT,2020,20041.9,Kacang Hijau
NUSA TENGGARA BARAT,2021,23543.7,Kacang Hijau
NUSA TENGGARA BARAT,2022,19626.9,Kacang Hijau
NUSA TENGGARA BARAT,2023,14847.0,Kacang Hijau
NUSA TENGGARA BARAT,2024,7045.0,Kacang Hijau
NUSA TENGGARA BARAT,2020,33581.86,Kacang Tanah
NUSA TENGGARA BARAT,2021,40233.18,Kacang Tanah
NUSA TENGGARA BARAT,2022,24605.51,Kacang Tanah
NUSA TENGGARA BARAT,2023,26539.0,Kacang Tanah
NUSA TENGGARA BARAT,2024,21256.0,Kacang Tanah
